PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF/PF,Dario Saric (7892954),Dario Saric,7892954,4500,Den@Phi 07:00PM ET,Phi,
,,,,,,,,,SF/PF,DeMarre Carroll (7892956),DeMarre Carroll,7892956,4500,Cle@Tor 07:30PM ET,Tor,
,,,,,,,,,SF,Brandon Ingram (7893024),Brandon Ingram,7893024,4500,Uta@LAL 10:30PM ET,LAL,
,,,,,,,,,SG/SF,Andre Roberson (7892871),Andre Roberson,7892871,4400,OKC@Atl 07:30PM ET,OKC,
,,,,,,,,,PG,Patty Mills (7892800),Patty Mills,7892800,4400,SA@Mil 08:00PM ET,SA,
,,,,,,,,,SG/SF,Evan Turner (7892874),Evan Turner,7892874,4400,Por@Chi 08:00PM ET,Por,
,,,,,,,,,PF,Al-Farouq Aminu (7893067),Al-Farouq Aminu,7893067,4400,Por@Chi 08:00PM ET,Por,
,,,,,,,,,C,Cody Zeller (7893142),Cody Zeller,7893142,4400,Cha@Dal 08:30PM ET,Cha,
,,,,,,,,,SF,Troy Williams (7893020),Troy Williams,7893020,4400,Mem@NO 08:00PM ET,Mem,
,,,,,,,,,SF/PF,Nikola Mirotic (7892948),Nikola Mirotic,7892948,4300,Por@Chi 08:00PM ET,Chi,
,,,,,,,,,SG/SF,Bojan Bogdanovic (7892879),Bojan Bogdanovic,7892879,4300,Was@Bkn 07:30PM ET,Bkn,
,,,,,,,,,C,Andrew Bogut (7893139),Andrew Bogut,7893139,4300,Cha@Dal 08:30PM ET,Dal,
,,,,,,,,,SG,Nick Young (7892940),Nick Young,7892940,4300,Uta@LAL 10:30PM ET,LAL,
